triad,way,model,T,C_dev,quadrant
b2_gm_v03,way1,gm,0.0000,0.0000,COMPILE_FAIL
b2_gm_v05,way1,gm,0.0000,0.0000,COMPILE_FAIL
b2_km_v01,way1,km,0.0000,1.0000,Q3_FRAGILE
b2_km_v02,way1,km,0.0000,1.0000,Q3_FRAGILE
b2_km_v03,way1,km,0.0000,1.0000,Q3_FRAGILE
b2_km_v05,way1,km,0.0000,0.0000,COMPILE_FAIL
b2_km_w2_drv02,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_drv03,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_drv05,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_sb02,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_sb03,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_sb04,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_sb05,way2,km,0.0000,0.0000,COMPILE_FAIL
b2_km_w2_seq02,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_seq03,way2,km,0.0000,1.0000,Q3_FRAGILE
b2_km_w2_seq04,way2,km,0.0000,0.0000,RUNTIME_CRASH
b2_km_w2_seq05,way2,km,0.0000,0.0000,RUNTIME_CRASH
b2_pp_v01,way1,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_v02,way1,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_v03,way1,pp,0.0000,1.0000,Q3_FRAGILE
b2_pp_v04,way1,pp,0.0000,0.0000,COMPILE_FAIL
b2_pp_v05,way1,pp,0.0000,0.0000,COMPILE_FAIL
b2_pp_w2_drv02,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_drv03,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_drv04,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_drv05,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_sb02,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_sb03,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_sb04,way2,pp,0.0000,0.0000,COMPILE_FAIL
b2_pp_w2_sb05,way2,pp,0.0000,0.0000,COMPILE_FAIL
b2_pp_w2_seq02,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_seq03,way2,pp,0.0000,1.0000,Q3_FRAGILE
b2_pp_w2_seq04,way2,pp,0.0000,0.0000,RUNTIME_CRASH
b2_pp_w2_seq05,way2,pp,0.0000,1.0000,Q3_FRAGILE
