triad,origin,cell,seed,verdict,error_count,reason
q1_cg_v04,way1,S-04_slice_swap_iq,42,FAIL,20,result_fail
q1_cg_v04,way1,S-04_slice_swap_iq,1337,FAIL,20,result_fail
q1_cg_v04,way1,S-04_slice_swap_iq,9001,FAIL,20,result_fail
q1_cg_v04,way1,S-04_slice_swap_iq,271828,FAIL,20,result_fail
q1_cg_v04,way1,S-04_slice_swap_iq,314159,FAIL,20,result_fail
q1_cg_v04,way1,S-06_demod_valid_skew,42,FAIL,30,result_fail
q1_cg_v04,way1,S-06_demod_valid_skew,1337,FAIL,30,result_fail
q1_cg_v04,way1,S-06_demod_valid_skew,9001,FAIL,30,result_fail
q1_cg_v04,way1,S-06_demod_valid_skew,271828,FAIL,30,result_fail
q1_cg_v04,way1,S-06_demod_valid_skew,314159,FAIL,30,result_fail
q1_cg_v04,way1,S-07_const_sym00_i,42,FAIL,10,result_fail
q1_cg_v04,way1,S-07_const_sym00_i,1337,FAIL,10,result_fail
q1_cg_v04,way1,S-07_const_sym00_i,9001,FAIL,10,result_fail
q1_cg_v04,way1,S-07_const_sym00_i,271828,FAIL,10,result_fail
q1_cg_v04,way1,S-07_const_sym00_i,314159,FAIL,10,result_fail
q1_cg_v04,way1,S-08_demod_valid_dup,42,FAIL,55,result_fail
q1_cg_v04,way1,S-08_demod_valid_dup,1337,FAIL,55,result_fail
q1_cg_v04,way1,S-08_demod_valid_dup,9001,FAIL,55,result_fail
q1_cg_v04,way1,S-08_demod_valid_dup,271828,FAIL,55,result_fail
q1_cg_v04,way1,S-08_demod_valid_dup,314159,FAIL,55,result_fail
q1_cg_v04,way1,S-10_ch_drop_valid,42,FAIL,31,result_fail
q1_cg_v04,way1,S-10_ch_drop_valid,1337,FAIL,31,result_fail
q1_cg_v04,way1,S-10_ch_drop_valid,9001,FAIL,31,result_fail
q1_cg_v04,way1,S-10_ch_drop_valid,271828,FAIL,31,result_fail
q1_cg_v04,way1,S-10_ch_drop_valid,314159,FAIL,31,result_fail
q1_cg_v04,way1,S-12_ch_q_zero,42,FAIL,20,result_fail
q1_cg_v04,way1,S-12_ch_q_zero,1337,FAIL,20,result_fail
q1_cg_v04,way1,S-12_ch_q_zero,9001,FAIL,20,result_fail
q1_cg_v04,way1,S-12_ch_q_zero,271828,FAIL,20,result_fail
q1_cg_v04,way1,S-12_ch_q_zero,314159,FAIL,20,result_fail
q1_cg_v05,way1,S-04_slice_swap_iq,42,FAIL,20,result_fail
q1_cg_v05,way1,S-04_slice_swap_iq,1337,FAIL,20,result_fail
q1_cg_v05,way1,S-04_slice_swap_iq,9001,FAIL,20,result_fail
q1_cg_v05,way1,S-04_slice_swap_iq,271828,FAIL,20,result_fail
q1_cg_v05,way1,S-04_slice_swap_iq,314159,FAIL,20,result_fail
