cell,lane,expected,actual,ok
golden,golden,PASS,P P P P P,True
W-01_mod_latency_plus1,weather,PASS,P P P P P,True
W-02_demod_latency_plus1,weather,PASS,P P P P P,True
W-03_mod_idle_zero,weather,PASS,P P P P P,True
W-04_demod_idle_zero,weather,PASS,P P P P P,True
W-05_mod_reset_late,weather,PASS,P P P P P,True
W-06_demod_reset_late,weather,PASS,P P P P P,True
S-01_const_sym10_i,sabotage,FAIL,F F F F F,True
S-02_const_sym01_q,sabotage,FAIL,F F F F F,True
S-03_slice_invert_i,sabotage,FAIL,F F F F F,True
S-04_slice_swap_iq,sabotage,FAIL,F F F F F,True
S-05_mod_valid_gate,sabotage,FAIL,F F F F F,True
S-06_demod_valid_skew,sabotage,FAIL,F F F F F,True
S-07_const_sym00_i,sabotage,FAIL,F F F F F,True
S-08_demod_valid_dup,sabotage,FAIL,F F F F F,True
