group,model,category,version,filename,raw_sha256,ingested_sha256,normalized_sha256,lint_status,violations,dedup_class,representative,cross_model_dup_of
variants,pp,drv,1,qpsk_drv_pp_01.sv,f85de8c943ea1e9456be5e87b3189534ed6c91d6efb7be1496e64fbd42045eaa,f85de8c943ea1e9456be5e87b3189534ed6c91d6efb7be1496e64fbd42045eaa,2d2f7a2f12b5fa8ee2c44244e09392b5230848c4e0ef425835e7087561f91925,OK,,unique,qpsk_drv_pp_01.sv,
variants,pp,drv,2,qpsk_drv_pp_02.sv,32756d5ecacd6045100edb1e660c51765d4aeaa6d7a8d59025a05783e698b42a,32756d5ecacd6045100edb1e660c51765d4aeaa6d7a8d59025a05783e698b42a,5c3b2aa949cb86a7779c8fd626ae220e6093605f2e19f563e0e0f9a92dd6b06d,OK,,unique,qpsk_drv_pp_02.sv,
variants,pp,drv,3,qpsk_drv_pp_03.sv,9b82b42d8c66f6fbe2b48d107947c68972a4e7e3e417b9f66717ff0e10610534,9b82b42d8c66f6fbe2b48d107947c68972a4e7e3e417b9f66717ff0e10610534,2739f5329b61d901bfe3e955b043d86d6c1b1c6531b5008d24860add2617e450,OK,,unique,qpsk_drv_pp_03.sv,
variants,pp,drv,4,qpsk_drv_pp_04.sv,7ac1a7058c279011eb698a4df1abf5d373638cf00e9793c36b426a01c260b787,7ac1a7058c279011eb698a4df1abf5d373638cf00e9793c36b426a01c260b787,2a7fe7c08ced95839902825559865aa6d9fdf862bbf5b37a0b448ae1eca3f4eb,OK,,unique,qpsk_drv_pp_04.sv,
variants,pp,drv,5,qpsk_drv_pp_05.sv,d7aa642b560d4f9c6bd906ff91c451769262187444fb399cb55b7c933790a33c,d7aa642b560d4f9c6bd906ff91c451769262187444fb399cb55b7c933790a33c,3fce22a62d1640b9a2fbe740330f82020ea782ff0ff1f9139b65743a3650b1e1,OK,,unique,qpsk_drv_pp_05.sv,
variants,pp,sb,1,qpsk_sb_pp_01.sv,8110afd60ac2cd57fdae5ede9247ed75270c116457bf5b46570ebef921ef6e65,8110afd60ac2cd57fdae5ede9247ed75270c116457bf5b46570ebef921ef6e65,87af0933ae9658aa60823daeadd33e3629715c3257a1ffc64b3dc1def2b0ea48,OK,,unique,qpsk_sb_pp_01.sv,
variants,pp,sb,2,qpsk_sb_pp_02.sv,e978fe40a4c29a321233a456eec381c70bab3be592c54bfcd6c5b36fc5a337da,e978fe40a4c29a321233a456eec381c70bab3be592c54bfcd6c5b36fc5a337da,abaa8c100c6acee2c374775ff5972ebf5d2e61b41ada0502e5e6d23a3a565493,OK,,unique,qpsk_sb_pp_02.sv,
variants,pp,sb,3,qpsk_sb_pp_03.sv,e104f11d98a3c689bfff5baba27d6c38418ef8e6484fe985549b735c3a15e788,e104f11d98a3c689bfff5baba27d6c38418ef8e6484fe985549b735c3a15e788,c2459afb8aa98d54cc2a50669a82377d5a4f52ee88eceff32249557638cacf7c,OK,,unique,qpsk_sb_pp_03.sv,
variants,pp,sb,4,qpsk_sb_pp_04.sv,a6a3988694aea9220271ba96e2c81b0be4c08855c384e2ccbb67e0e6ed9d1fe4,a6a3988694aea9220271ba96e2c81b0be4c08855c384e2ccbb67e0e6ed9d1fe4,1d3a66864ed11bccf20d50fa34431048696513c8dca505b298a8d5d00257b77d,OK,,unique,qpsk_sb_pp_04.sv,
variants,pp,sb,5,qpsk_sb_pp_05.sv,8f97e1215eb8c5625d7610c71058270f583a2bc502d14137e2858083d30ca69d,8f97e1215eb8c5625d7610c71058270f583a2bc502d14137e2858083d30ca69d,9c662a867bcadabdadbcd23a96d3be9eb3cf3a65c8878f7e23bf511c7cc518ef,OK,,unique,qpsk_sb_pp_05.sv,
variants,pp,seq,1,qpsk_seq_pp_01.sv,4a6260c7ee16bf347c3ff87f8b22b1d2da6f6e4a13970312d506ceae8578d77a,4a6260c7ee16bf347c3ff87f8b22b1d2da6f6e4a13970312d506ceae8578d77a,4f7cbb0d34c8fd7c7ea3bd56e5d78f0ee995d2cc93276f31ec2aa3140d8da05a,OK,,unique,qpsk_seq_pp_01.sv,
variants,pp,seq,2,qpsk_seq_pp_02.sv,dac7178c7aeba94608128353ecfb22282096c6ad2b29533d605dcade47ce6e19,dac7178c7aeba94608128353ecfb22282096c6ad2b29533d605dcade47ce6e19,20b77b3c13ec0491a2bca8f7c2c555c286964c5f398a8bf284559c5dbeae3c02,OK,,unique,qpsk_seq_pp_02.sv,
variants,pp,seq,3,qpsk_seq_pp_03.sv,8f53e927e3978383f4bb4474eb70a0b5c94c0c1e27824c05a15f17915af8b3ed,8f53e927e3978383f4bb4474eb70a0b5c94c0c1e27824c05a15f17915af8b3ed,595e434934f9ecacdd35035bed2256fee0ebd90a9dbd463caa307ebaee4fbc8d,OK,,unique,qpsk_seq_pp_03.sv,
variants,pp,seq,4,qpsk_seq_pp_04.sv,61b7816e0cd26a34e2e16506f5eb914533b5838425f6410834afb7c8291dd3b0,61b7816e0cd26a34e2e16506f5eb914533b5838425f6410834afb7c8291dd3b0,6b85ac7a59251262d296f4607c001ca73f1863611b84fd613eab4badd4bf985c,OK,,unique,qpsk_seq_pp_04.sv,
