model,category,swap_version,baseline_version,T,C_dev,dT,dC_dev,quadrant
pp,drv,02,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,drv,03,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,drv,04,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,drv,05,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,seq,02,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,seq,03,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,seq,04,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,seq,05,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,sb,02,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,sb,03,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
pp,sb,04,01,0.0000,0.0000,N/A,N/A,COMPILE_FAIL
pp,sb,05,01,0.0000,0.0000,N/A,N/A,COMPILE_FAIL
km,drv,02,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,drv,03,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,drv,05,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,seq,02,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,seq,03,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,seq,04,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,seq,05,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,sb,02,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,sb,03,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,sb,04,01,0.0000,1.0000,+0.0000,+0.0000,Q3_FRAGILE
km,sb,05,01,0.0000,0.0000,N/A,N/A,COMPILE_FAIL
