triad,model,T,C_dev,quadrant
cg_v01,cg,0.0,0.0,FAILS_GOLDEN
cg_v02,cg,0.0,0.0,FAILS_GOLDEN
cg_v03,cg,0.0,0.0,FAILS_GOLDEN
cg_v04,cg,1.0,1.0,Q1_SURVIVOR
cg_v05,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_drv01,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_drv02,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_drv03,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_drv05,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_sb01,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_sb02,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_sb03,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_sb05,cg,1.0,1.0,Q1_SURVIVOR
cg_w2_seq01,cg,0.0,0.0,FAILS_GOLDEN
cg_w2_seq02,cg,0.0,0.0,FAILS_GOLDEN
cg_w2_seq03,cg,0.0,0.0,FAILS_GOLDEN
cg_w2_seq05,cg,1.0,1.0,Q1_SURVIVOR
gm_v01,gm,0.0,0.0,FAILS_GOLDEN
gm_v02,gm,0.0,0.0,FAILS_GOLDEN
gm_v03,gm,1.0,1.0,Q1_SURVIVOR
gm_v04,gm,0.0,0.0,FAILS_GOLDEN
gm_v05,gm,0.0,0.0,FAILS_GOLDEN
gm_w2_drv01,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_drv02,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_drv04,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_drv05,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_sb01,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_sb02,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_sb04,gm,0.0,0.0,FAILS_GOLDEN
gm_w2_sb05,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_seq01,gm,0.0,0.0,FAILS_GOLDEN
gm_w2_seq02,gm,0.0,0.0,FAILS_GOLDEN
gm_w2_seq04,gm,1.0,1.0,Q1_SURVIVOR
gm_w2_seq05,gm,0.0,0.0,FAILS_GOLDEN
