group,model,category,version,filename,raw_sha256,ingested_sha256,normalized_sha256,lint_status,violations,dedup_class,representative,cross_model_dup_of
variants,cg,drv,1,qpsk_drv_cg_01.sv,fb0e7eac23c646d0470ce41975853ba47634030ad5fa0376f8595931eb82af9a,fb0e7eac23c646d0470ce41975853ba47634030ad5fa0376f8595931eb82af9a,846a55e121e48dd2caf72112595d2fd17ff463a4d5d08fa5761db2704efafac4,OK,,unique,qpsk_drv_cg_01.sv,
variants,cg,drv,2,qpsk_drv_cg_02.sv,5775a4ee7da3eba59d08ca731ec6013c1f9508c14c831c27181cb3b2f3773375,5775a4ee7da3eba59d08ca731ec6013c1f9508c14c831c27181cb3b2f3773375,820b8fd5f45d6c09b4fd6e7275170a9335375c13c506888d24f62c1f5772c94b,OK,,unique,qpsk_drv_cg_02.sv,
variants,cg,drv,3,qpsk_drv_cg_03.sv,6e71716b5842a6a673619cbf34e9545db85025fca5926b263107a585f2b3c220,6e71716b5842a6a673619cbf34e9545db85025fca5926b263107a585f2b3c220,c38d30ddd3b665a0231891980b2f43c623b59e0ebf30a79654f7653d56a08b6f,OK,,unique,qpsk_drv_cg_03.sv,
variants,cg,drv,4,qpsk_drv_cg_04.sv,57dc9bc4980d2029daad3e67d6038de7e5210cd4e2880f5b88147c3266f4a5d0,57dc9bc4980d2029daad3e67d6038de7e5210cd4e2880f5b88147c3266f4a5d0,e3c9304f538f126d5450f8d642e5f82584ddf9a98eda98c09ae9ce8036f70217,OK,,unique,qpsk_drv_cg_04.sv,
variants,cg,drv,5,qpsk_drv_cg_05.sv,5f036639ab00fe87f877771eda7bd1a50d3a10a8c948d166cbf5f93f0625b8ed,5f036639ab00fe87f877771eda7bd1a50d3a10a8c948d166cbf5f93f0625b8ed,0f50995162ede859a04b797d3bc738ccb103b4aa35bf3a103fa4932bd6217249,OK,,unique,qpsk_drv_cg_05.sv,
variants,cg,sb,1,qpsk_sb_cg_01.sv,3d9ecb776cb7ac25b38be7134102f0256f86eb05099e548dfafb89950bbd05b7,3d9ecb776cb7ac25b38be7134102f0256f86eb05099e548dfafb89950bbd05b7,34dd3bb30757220ecda8a3f1ac43d84b7ddbb2571e6ee8184d874d021041004e,OK,,unique,qpsk_sb_cg_01.sv,
variants,cg,sb,2,qpsk_sb_cg_02.sv,9bf42c29f217f1e210d1096262f2c7acf09ce5fda4039880f22da2263ba7a661,9bf42c29f217f1e210d1096262f2c7acf09ce5fda4039880f22da2263ba7a661,e7a324ca5d94bd6a0624bdb6125806cd4ff58431adcdeb901374a31386f6a987,OK,,unique,qpsk_sb_cg_02.sv,
variants,cg,sb,3,qpsk_sb_cg_03.sv,8eb5b663431d533eb989d6dde7e84736ad0833e5ada395828b4261b1118b5bc1,8eb5b663431d533eb989d6dde7e84736ad0833e5ada395828b4261b1118b5bc1,7398ed1b5cdecff1b7f8adc9513e04937e620b4af4654ddddde172eea81ba88f,OK,,unique,qpsk_sb_cg_03.sv,
variants,cg,sb,4,qpsk_sb_cg_04.sv,49a9d1e26b22d2686c18b2ec3f8d1cc167c24baac5120a63eaddb63b7d91f6e4,49a9d1e26b22d2686c18b2ec3f8d1cc167c24baac5120a63eaddb63b7d91f6e4,1a38e1088dd5cbc058052ff82b4867652cdb1ccacf27fec4f767b6e2bb261ad7,OK,,unique,qpsk_sb_cg_04.sv,
variants,cg,sb,5,qpsk_sb_cg_05.sv,d148597ce73e117b0874d219d4ba46198543b264abe9091951c39c7e41f83d88,d148597ce73e117b0874d219d4ba46198543b264abe9091951c39c7e41f83d88,cfb304c34de6e2c4350a32ce90bfb449d2fd033b0ab173a51f0088f888faf3d1,OK,,unique,qpsk_sb_cg_05.sv,
variants,cg,seq,1,qpsk_seq_cg_01.sv,9539f94aac19a1555845f901605863e46567399fc846c4a5d6d57a19eddd3745,9539f94aac19a1555845f901605863e46567399fc846c4a5d6d57a19eddd3745,0d3876f73673c6a34d6b0a4b59ffbd83afcf26cb1174627c0f1c04b973c30e5e,OK,,unique,qpsk_seq_cg_01.sv,
variants,cg,seq,2,qpsk_seq_cg_02.sv,2fd4b3c7f077cf0d05000e147d5926467557796f49b0d2c804d4364c3ee8332f,2fd4b3c7f077cf0d05000e147d5926467557796f49b0d2c804d4364c3ee8332f,a2839af5871436cd1e86a3ed7775ecc69fb52e050a6eb5dddb3c31dee7e45b8a,OK,,unique,qpsk_seq_cg_02.sv,
variants,cg,seq,3,qpsk_seq_cg_03.sv,6caafbf70a2b31d36f03341ed8cddb253a953b4385569e228e65781ae1bae356,6caafbf70a2b31d36f03341ed8cddb253a953b4385569e228e65781ae1bae356,c2c8d7b7cf2a29b5ffaeb9abb57274e4e95de8319c5b891d879c5b59c8b01e4c,OK,,unique,qpsk_seq_cg_03.sv,
variants,cg,seq,4,qpsk_seq_cg_04.sv,e8ba2422a83f4571501a0c0f24c80b2922da5916e4489ce9dc54d16fe46eec0a,e8ba2422a83f4571501a0c0f24c80b2922da5916e4489ce9dc54d16fe46eec0a,d0e288262fc52379c355fbe927d47f9031c985c32fe739bf823c81c735e16cce,OK,,unique,qpsk_seq_cg_04.sv,
variants,cg,seq,5,qpsk_seq_cg_05.sv,7b2a7a11db18cc61e78b0d199d0b6d19ce1d5191cf04a25c400ca55ab79b5162,7b2a7a11db18cc61e78b0d199d0b6d19ce1d5191cf04a25c400ca55ab79b5162,6122a6012bf58ba89745bd1ffd66bb81eab121f0e042b97bf25f0cb15c6130ac,OK,,unique,qpsk_seq_cg_05.sv,
variants,qw,drv,1,qpsk_drv_qw_01.sv,71c116ba91214a0f3077844ad6c64f151f97a1f8a4f7fe026f55038dfeed9b14,71c116ba91214a0f3077844ad6c64f151f97a1f8a4f7fe026f55038dfeed9b14,ea06a0a66089f3c6d5173c1030131e91f20490b1ed6add69587bbe09acc64a50,OK,,unique,qpsk_drv_qw_01.sv,
variants,qw,drv,2,qpsk_drv_qw_02.sv,0e9f16fca8db4f7b5534532e3da2c2227feff6fa5b1eb621a04068e6e3de50b4,0e9f16fca8db4f7b5534532e3da2c2227feff6fa5b1eb621a04068e6e3de50b4,0e9f16fca8db4f7b5534532e3da2c2227feff6fa5b1eb621a04068e6e3de50b4,OK,,unique,qpsk_drv_qw_02.sv,
variants,qw,drv,3,qpsk_drv_qw_03.sv,80080386ab82cdd34e459929921e27b81538372ce3308cd886ad52136023e464,80080386ab82cdd34e459929921e27b81538372ce3308cd886ad52136023e464,b285c41091bf200761d70d1974d3ebe879cb5097d047f053254fe9f943d8dde5,OK,,unique,qpsk_drv_qw_03.sv,
variants,qw,drv,4,qpsk_drv_qw_04.sv,e781390a39a1cc9f56cccbd378b5afcef9fc0602a65c73799e81d1eee876500e,e781390a39a1cc9f56cccbd378b5afcef9fc0602a65c73799e81d1eee876500e,6c0190304388f42f379d367dded1aca1f29127a433696e53c878e7bd471080ef,OK,,unique,qpsk_drv_qw_04.sv,
variants,qw,drv,5,qpsk_drv_qw_05.sv,40d56a026538ab2d5e532edf3525885e553539c3b869d72e93ea1cff27aeb5df,40d56a026538ab2d5e532edf3525885e553539c3b869d72e93ea1cff27aeb5df,fc0c1632c8a3ecfec64d13155529f6115e9a38350ab8caa74b94945e7f44b5f2,OK,,unique,qpsk_drv_qw_05.sv,
variants,qw,sb,1,qpsk_sb_qw_01.sv,00a2b596100fbfae0de97871bdaf8df876966f2abd80790e3eda8c960e1d1c0e,00a2b596100fbfae0de97871bdaf8df876966f2abd80790e3eda8c960e1d1c0e,1e33dc0a7714ffaeea1e085cf9b7f4fc59017c7087c94597e1fd7d58cf53c2af,OK,,unique,qpsk_sb_qw_01.sv,
