triad,caught_holdout,C_holdout
b1_cg_v04,6,1.0000
b1_cg_v05,6,1.0000
b1_gm_v03,6,1.0000
b1_cg_drv01,6,1.0000
b1_cg_drv02,6,1.0000
b1_cg_drv03,6,1.0000
b1_cg_drv05,6,1.0000
b1_cg_sb01,6,1.0000
b1_cg_sb02,6,1.0000
b1_cg_sb03,6,1.0000
b1_cg_sb05,6,1.0000
b1_cg_seq05,6,1.0000
b1_gm_drv01,6,1.0000
b1_gm_drv02,6,1.0000
b1_gm_drv04,6,1.0000
b1_gm_drv05,6,1.0000
b1_gm_sb01,6,1.0000
b1_gm_sb02,6,1.0000
b1_gm_sb05,6,1.0000
b1_gm_seq04,6,1.0000
s6_X1,6,1.0000
s6_X2,6,1.0000
s6_X3,6,1.0000
s6_X4,6,1.0000
s6_X5,6,1.0000
s6_X6,6,1.0000
