model,category,swap_version,baseline_version,T,C_dev,dT,dC_dev,quadrant
cg,drv,01,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,drv,02,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,drv,03,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,drv,05,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,seq,01,04,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
cg,seq,02,04,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
cg,seq,03,04,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
cg,seq,05,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,sb,01,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,sb,02,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,sb,03,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
cg,sb,05,04,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,drv,01,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,drv,02,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,drv,04,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,drv,05,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,seq,01,03,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
gm,seq,02,03,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
gm,seq,04,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,seq,05,03,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
gm,sb,01,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,sb,02,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
gm,sb,04,03,0.0000,1.0000,-1.0000,+0.0000,Q3_FRAGILE
gm,sb,05,03,1.0000,1.0000,+0.0000,+0.0000,Q1_SURVIVOR
